cme_id,speed,type,linked_events,start time
2011-09-28T16:24:00-CME-001,400.0,S,[{'activityID': '2011-10-02T06:53:00-IPS-001'}],"09/28/2011, 16:24:00"
2011-09-29T18:54:00-CME-001,540.0,C,,"09/29/2011, 18:54:00"
2011-09-29T19:39:00-CME-001,650.0,C,[{'activityID': '2011-10-03T03:00:00-IPS-001'}],"09/29/2011, 19:39:00"
2011-09-30T19:54:00-CME-001,1500.0,O,[{'activityID': '2011-10-03T22:30:00-IPS-001'}],"09/30/2011, 19:54:00"
2011-10-01T09:54:00-CME-001,330.0,S,,"10/01/2011, 09:54:00"
2011-10-01T10:24:00-CME-001,335.0,S,,"10/01/2011, 10:24:00"
2011-10-02T01:54:00-CME-001,500.0,C,[{'activityID': '2011-10-05T06:47:00-IPS-001'}],"10/02/2011, 01:54:00"
2011-10-04T13:10:00-CME-001,1370.0,O,"[{'activityID': '2011-10-05T01:15:00-SEP-001'}, {'activityID': '2011-10-05T02:32:00-IPS-001'}, {'activityID': '2011-10-07T11:30:00-IPS-001'}]","10/04/2011, 13:10:00"
2011-10-05T18:54:00-CME-001,350.0,S,,"10/05/2011, 18:54:00"
2011-10-05T19:09:00-CME-001,450.0,S,,"10/05/2011, 19:09:00"
2011-10-13T02:32:00-CME-001,330.0,S,,"10/13/2011, 02:32:00"
2011-10-13T03:17:00-CME-001,509.0,C,,"10/13/2011, 03:17:00"
2011-10-14T09:12:00-CME-001,460.0,S,[{'activityID': '2011-10-18T02:00:00-IPS-001'}],"10/14/2011, 09:12:00"
2011-10-14T12:24:00-CME-001,700.0,C,[{'activityID': '2011-10-15T08:26:00-IPS-001'}],"10/14/2011, 12:24:00"
2011-10-14T21:09:00-CME-001,650.0,C,,"10/14/2011, 21:09:00"
2011-10-15T06:24:00-CME-001,544.0,C,,"10/15/2011, 06:24:00"
2011-10-15T09:18:00-CME-001,543.0,C,,"10/15/2011, 09:18:00"
2011-10-16T16:48:00-CME-001,537.0,C,[{'activityID': '2011-10-22T22:00:00-IPS-001'}],"10/16/2011, 16:48:00"
2011-10-18T09:12:00-CME-001,380.0,S,,"10/18/2011, 09:12:00"
2011-10-20T03:54:00-CME-001,340.0,S,,"10/20/2011, 03:54:00"
2011-10-21T09:24:00-CME-001,374.0,S,,"10/21/2011, 09:24:00"
2011-10-21T13:54:00-CME-001,276.0,S,,"10/21/2011, 13:54:00"
2011-10-21T21:54:00-CME-001,294.0,S,,"10/21/2011, 21:54:00"
2011-10-22T01:36:00-CME-001,590.0,C,"[{'activityID': '2011-10-24T17:48:00-IPS-001'}, {'activityID': '2011-10-25T21:00:00-GST-001'}]","10/22/2011, 01:36:00"
2011-10-22T11:20:00-CME-001,990.0,C,"[{'activityID': '2011-10-23T15:00:00-SEP-001'}, {'activityID': '2011-10-24T17:30:00-IPS-001'}]","10/22/2011, 11:20:00"
2011-10-25T07:12:00-CME-001,380.0,S,[{'activityID': '2011-10-29T10:00:00-IPS-001'}],"10/25/2011, 07:12:00"
2011-10-26T10:24:00-CME-001,470.0,S,[{'activityID': '2011-10-30T08:49:00-IPS-001'}],"10/26/2011, 10:24:00"
2011-10-27T12:24:00-CME-001,730.0,C,[{'activityID': '2011-11-01T08:00:00-IPS-001'}],"10/27/2011, 12:24:00"
2011-10-28T01:09:00-CME-001,320.0,S,,"10/28/2011, 01:09:00"
2011-10-29T16:55:00-CME-001,350.0,S,,"10/29/2011, 16:55:00"
2011-11-01T16:54:00-CME-001,500.0,C,,"11/01/2011, 16:54:00"
2011-11-02T20:39:00-CME-001,400.0,S,,"11/02/2011, 20:39:00"
2011-11-03T22:39:00-CME-001,1100.0,O,"[{'activityID': '2011-11-04T00:52:00-SEP-001'}, {'activityID': '2011-11-04T15:09:00-IPS-001'}, {'activityID': '2011-11-06T05:00:00-IPS-001'}]","11/03/2011, 22:39:00"
2011-11-04T03:24:00-CME-001,560.0,C,,"11/04/2011, 03:24:00"
2011-11-05T01:25:00-CME-001,330.0,S,,"11/05/2011, 01:25:00"
2011-11-08T00:00:00-CME-001,680.0,C,,"11/08/2011, 00:00:00"
2011-11-09T09:09:00-CME-001,560.0,C,,"11/09/2011, 09:09:00"
2011-11-09T13:39:00-CME-001,1150.0,O,[{'activityID': '2011-11-12T05:30:00-IPS-001'}],"11/09/2011, 13:39:00"
2011-11-09T18:36:00-CME-001,299.0,S,,"11/09/2011, 18:36:00"
2011-11-10T04:39:00-CME-001,550.0,C,[{'activityID': '2011-11-12T03:30:00-IPS-001'}],"11/10/2011, 04:39:00"
2011-11-10T18:48:00-CME-001,,NA,,"11/10/2011, 18:48:00"
2011-11-11T07:09:00-CME-001,800.0,C,,"11/11/2011, 07:09:00"
2011-11-12T18:36:00-CME-001,695.0,C,[{'activityID': '2011-11-14T02:06:00-IPS-001'}],"11/12/2011, 18:36:00"
2011-11-13T18:36:00-CME-001,888.0,C,,"11/13/2011, 18:36:00"
2011-11-14T19:09:00-CME-001,675.0,C,,"11/14/2011, 19:09:00"
2011-11-14T20:39:00-CME-001,344.0,S,,"11/14/2011, 20:39:00"
2011-11-15T05:36:00-CME-001,766.0,C,[{'activityID': '2011-11-19T07:30:00-IPS-001'}],"11/15/2011, 05:36:00"
2011-11-15T09:48:00-CME-001,444.0,S,,"11/15/2011, 09:48:00"
2011-11-15T19:24:00-CME-001,379.0,S,,"11/15/2011, 19:24:00"
2011-11-16T15:24:00-CME-001,269.0,S,,"11/16/2011, 15:24:00"
2011-11-17T17:24:00-CME-001,385.0,S,,"11/17/2011, 17:24:00"
2011-11-17T20:36:00-CME-001,773.0,C,[{'activityID': '2011-11-20T14:00:00-IPS-001'}],"11/17/2011, 20:36:00"
2011-11-18T00:00:00-CME-001,465.0,S,,"11/18/2011, 00:00:00"
2011-11-18T02:48:00-CME-001,674.0,C,,"11/18/2011, 02:48:00"
2011-11-20T16:09:00-CME-001,430.0,S,,"11/20/2011, 16:09:00"
2011-11-20T22:54:00-CME-001,730.0,C,,"11/20/2011, 22:54:00"
2011-11-22T03:48:00-CME-001,136.0,S,,"11/22/2011, 03:48:00"
2011-11-22T06:36:00-CME-001,778.0,C,[{'activityID': '2011-11-23T05:03:00-IPS-001'}],"11/22/2011, 06:36:00"
2011-11-22T22:24:00-CME-001,718.0,C,[{'activityID': '2011-11-26T18:09:00-IPS-001'}],"11/22/2011, 22:24:00"
2011-11-25T07:18:00-CME-001,330.0,S,,"11/25/2011, 07:18:00"
2011-11-26T07:12:00-CME-001,930.0,C,"[{'activityID': '2011-11-26T08:00:00-SEP-001'}, {'activityID': '2011-11-26T11:25:00-SEP-001'}, {'activityID': '2011-11-28T15:00:00-IPS-001'}, {'activityID': '2011-11-28T21:15:00-IPS-001'}]","11/26/2011, 07:12:00"
2011-11-27T10:36:00-CME-001,550.0,C,,"11/27/2011, 10:36:00"
2011-11-28T07:39:00-CME-001,454.0,S,[{'activityID': '2011-12-02T16:03:00-IPS-001'}],"11/28/2011, 07:39:00"
2011-11-29T23:54:00-CME-001,560.0,C,,"11/29/2011, 23:54:00"
2011-11-30T23:54:00-CME-001,250.0,S,,"11/30/2011, 23:54:00"
2011-11-30T23:54:00-CME-002,525.0,C,,"11/30/2011, 23:54:00"
2011-12-01T10:30:00-CME-001,350.0,S,,"12/01/2011, 10:30:00"
2011-12-02T20:54:00-CME-001,500.0,C,,"12/02/2011, 20:54:00"
2011-12-03T07:48:00-CME-001,512.0,C,[{'activityID': '2011-12-06T22:45:00-IPS-001'}],"12/03/2011, 07:48:00"
2011-12-03T11:24:00-CME-001,622.0,C,[{'activityID': '2011-12-06T22:45:00-IPS-001'}],"12/03/2011, 11:24:00"
2011-12-03T15:54:00-CME-001,470.0,S,,"12/03/2011, 15:54:00"
2011-12-04T14:00:00-CME-001,270.0,S,,"12/04/2011, 14:00:00"
2011-12-04T20:39:00-CME-001,520.0,C,,"12/04/2011, 20:39:00"
2011-12-06T10:12:00-CME-001,669.0,C,,"12/06/2011, 10:12:00"
